legajo,actual,new,bultos,horas,dias,sectores,sector_principal,turnos,diff,diff_pct,bultos_hora,bultos_dia,pay_actual,nivel_actual,bultos_actuales,desde_actual,hasta_actual,pen_tnc,pen_error,eq_sector,eq_traslado,eq_cons,total_eq,pen_total,eq_per_hour,nivel_nuevo,premio_hora_nuevo,ritmo_nuevo,sectores_nuevo
187400,4811.52,9108.619999999999,1698.0,22.0,4,3,B1,1,4297.0999999999985,89.30857608406487,77.18181818181819,424.5,4811.52,1.25,424.5,827.5,1029.0,13.229999999999999,0.0,1751.1100000000001,407.118,56.222,2214.449,13.229999999999999,100.65677272727272,1.6941520467836257,673.020187134503,144.54218391812864,6
189231,0.0,6429.21,1181.0,17.0,3,1,B1,1,6429.21,,69.47058823529412,393.6666666666667,0.0,1.0,393.6666666666667,770.0,999.0,10.190000000000001,0.0,1199.51,321.267,29.622,1550.399,10.190000000000001,91.19994117647059,1.277777777777778,224.013,70.46486666666667,6
189685,0.0,9837.16,1670.0,20.0,4,1,B1,1,9837.16,,83.5,417.5,0.0,1.0,417.5,770.0,999.0,0.0,0.0,1652.4,320.26800000000003,22.368,1995.036,0.0,99.7518,2.316666666666667,1222.9716666666666,109.23913888888889,6
190367,39635.26,20561.079999999998,3889.0,42.0,6,5,B1,1,-19074.180000000004,-48.12427116663295,92.5952380952381,648.1666666666666,39635.26,2.5,648.1666666666666,1051.6666666666667,1226.0,0.0,0.0,4382.527,1222.0339999999999,0.0,5604.56,0.0,133.44190476190477,1.9268939393939395,973.9449752673797,189.5465878193702,17
190368,42686.66,132621.8,15487.0,179.0,25,3,B1,1,89935.13999999998,210.686757877051,86.5195530726257,619.48,42686.66,1.4,619.48,853.2,1049.4,1885.04,0.0,15250.05,3177.98,205.543,18633.573,1885.04,104.09817318435755,1.7192987684062053,719.4837784529637,139.9895672442736,7
190544,0.0,15210.66,1394.0,22.0,3,2,B1,1,15210.66,,63.36363636363637,464.6666666666667,0.0,1.0,464.6666666666667,770.0,999.0,0.0,0.0,1318.33,289.05,49.572,1656.951,0.0,75.31595454545455,2.4814814814814814,1246.1746296296294,92.63783564814815,6
190888,34366.62,32403.89,5395.0,80.0,12,7,AM,1,-1962.7300000000032,-5.711152275085542,67.4375,449.5833333333333,34366.62,1.5833333333333333,449.5833333333333,888.3333333333334,1080.75,1095.42,0.0,7205.3009999999995,2097.034,53.199,9355.532,1095.42,116.94415,1.6293308883382414,588.1062772211449,89.1904109834861,13
190890,38725.39,91862.2,10944.0,147.0,21,12,MU,1,53136.81,137.21439603319683,74.44897959183673,521.1428571428571,38725.39,1.4761904761904763,521.1428571428571,869.047619047619,1059.0,1168.9,0.0,12767.268,3577.673,24.184,16369.121,1168.9,111.35456462585033,1.907180132330304,875.596010108229,103.98262013168707,16
192150,130054.78,220059.33,20160.0,172.0,24,5,B1,1,90004.54999999999,69.20510726326245,117.20930232558139,840.0,130054.78,2.2916666666666665,840.0,1007.9583333333334,5284.125,241.29,120.96,19928.02,3607.801,332.496,23868.315,362.25,138.76927325581394,1.9815810305373873,910.2412129222242,107.49220494040459,7
192151,310534.4,99517.77,15549.0,164.0,23,10,AM,1,-211016.63,-67.95273889140783,94.8109756097561,676.0434782608696,310534.4,3.909090909090909,706.7727272727273,1283.4545454545455,28285.0,0.0,0.0,19898.545000000002,5519.993,149.321,25567.86,0.0,155.90158536585366,2.0165283551603075,1001.2759416262978,107.85640118816157,17
