legajo,actual,nuevo_base,nuevo_ajustado,bultos,horas,dias,sector,diff_base,pct_base,diff_aj,pct_aj,bph,grupo,equiv
193090,4811.52,35182.79,35182.79,5360.0,72.0,11,B1,30371.27,631.2198639930832,30371.27,631.2198639930832,74.44444444444444,SECOS + NOA,1.0
193092,0.0,740.23,740.23,411.0,7.0,2,B1,740.23,,740.23,,58.714285714285715,SECOS + NOA,1.0
194041,100554.72,139620.08,139620.08,15669.0,141.0,20,B1,39065.359999999986,38.84985210042849,39065.359999999986,38.84985210042849,111.12765957446808,SECOS + NOA,1.0
194042,87666.66,102715.98,114200.54,8074.0,103.0,20,PA,15049.319999999992,17.16652602026813,26533.87999999999,30.26678557161866,78.3883495145631,CAMARA 06,1.0
194826,0.0,11687.87,11687.87,2824.0,56.0,9,B1,11687.87,,11687.87,,50.42857142857143,SECOS + NOA,1.0
195116,46635.28,46560.16,46560.16,4804.0,42.0,6,CO,-75.11999999999534,-0.16107976621989906,-75.11999999999534,-0.16107976621989906,114.38095238095238,CAMARA 06,1.0
195117,33610.78,32201.44,32201.44,3869.0,40.0,6,CO,-1409.3400000000001,-4.19311899337058,-1409.3400000000001,-4.19311899337058,96.725,CAMARA 06,1.0
195118,0.0,0.0,0.0,0.0,1.0,1,B3,0.0,,0.0,,0.0,SECOS + NOA,0.85
195119,0.0,0.0,0.0,0.0,1.0,1,PA,0.0,,0.0,,0.0,CAMARA 06,1.0
195120,0.0,0.0,0.0,0.0,1.0,1,B1,0.0,,0.0,,0.0,SECOS + NOA,1.0
195121,193942.67,85073.26,96808.31999999999,9492.0,105.0,14,AM,-108869.41000000002,-56.13484129098564,-97134.35000000002,-50.084053189532774,90.4,SECOS + NOA,1.1
195122,0.0,7519.429999999999,7519.429999999999,1187.0,30.0,12,B1,7519.429999999999,,7519.429999999999,,39.56666666666667,SECOS + NOA,1.0
196370,113859.14,110714.68,110714.68,15878.0,148.0,21,F1,-3144.4600000000064,-2.7617106540590473,-3144.4600000000064,-2.7617106540590473,107.28378378378379,OTRAS CAMARAS,1.0
196375,142764.22,39869.5,54650.12,6300.0,79.0,11,VT,-102894.72,-72.07318472373541,-88114.1,-61.72001640186876,79.74683544303798,SECOS + NOA,1.38
197259,0.0,0.0,0.0,0.0,4.0,4,PE,0.0,,0.0,,0.0,SECOS + NOA,1.13
198019,469959.61,150738.04,150738.04,19222.0,167.0,21,AM,-319221.56999999995,-67.92532022060362,-319221.56999999995,-67.92532022060362,115.10179640718563,SECOS + NOA,1.1
198105,4811.52,34607.94,34607.94,3870.0,44.0,7,B1,29796.420000000002,619.272496009577,29796.420000000002,619.272496009577,87.95454545454545,SECOS + NOA,1.0
198106,26416.519999999997,32119.3,32119.3,3339.0,27.0,4,B1,5702.7800000000025,21.58793058283227,5702.7800000000025,21.58793058283227,123.66666666666667,SECOS + NOA,1.0
198108,30173.72,23599.44,23599.44,3335.0,30.0,6,BA,-6574.2800000000025,-21.78809904778066,-6574.2800000000025,-21.78809904778066,111.16666666666667,OTRAS CAMARAS,1.0
198633,297189.09,219222.73,243442.29,19596.0,155.0,22,B1,-77966.36000000002,-26.234596969895502,-53746.80000000002,-18.085051507106137,126.4258064516129,SECOS + NOA,1.0
198634,0.0,24255.32,24255.32,2950.0,42.0,8,B1,24255.32,,24255.32,,70.23809523809524,SECOS + NOA,1.0
198635,501583.58,309843.35,309843.35,29465.0,196.0,26,B1,-191740.23000000004,-38.22697505368897,-191740.23000000004,-38.22697505368897,150.33163265306123,SECOS + NOA,1.0
198671,29185.73,26811.81,26811.81,4069.0,40.0,6,F1,-2373.9199999999983,-8.133838009191473,-2373.9199999999983,-8.133838009191473,101.725,OTRAS CAMARAS,1.0
198673,324799.84,126710.25,145639.66999999998,16878.0,166.0,22,AM,-198089.59000000003,-60.98820430453414,-179160.17000000004,-55.16017803457047,101.67469879518072,SECOS + NOA,1.1
198872,0.0,0.0,0.0,0.0,1.0,1,PE,0.0,,0.0,,0.0,SECOS + NOA,1.13
198873,624525.35,404653.62,404653.62,32586.0,204.0,26,B1,-219871.72999999998,-35.2062138070136,-219871.72999999998,-35.2062138070136,159.73529411764707,SECOS + NOA,1.0
198874,45601.54,43404.88,43404.88,5011.0,46.0,7,F1,-2196.6600000000035,-4.817074160214772,-2196.6600000000035,-4.817074160214772,108.93478260869566,OTRAS CAMARAS,1.0
198876,46604.2,36036.11,36036.11,5672.0,49.0,7,BA,-10568.089999999997,-22.676260937855382,-10568.089999999997,-22.676260937855382,115.75510204081633,OTRAS CAMARAS,1.0
199091,0.0,9540.98,9540.98,1296.0,16.0,3,B1,9540.98,,9540.98,,81.0,SECOS + NOA,1.0
199093,130803.26,172061.19,214945.47,17188.0,168.0,24,B1,41257.93000000001,31.54197380095879,84142.21,64.32730346323173,102.30952380952381,SECOS + NOA,1.0
199094,78388.27,65192.2,65192.2,10362.0,139.0,19,VA,-13196.070000000007,-16.83424063319679,-13196.070000000007,-16.83424063319679,74.54676258992805,SECOS + NOA,1.43
199095,245819.14,83975.62,97944.7,10609.0,119.0,15,AM,-161843.52000000002,-65.83845342555506,-147874.44,-60.155787706360044,89.15126050420169,SECOS + NOA,1.1
199408,307729.79,266100.89,307482.41,24744.0,188.0,26,B1,-41628.899999999965,-13.52774458397413,-247.38000000000466,-0.08038870724865625,131.61702127659575,SECOS + NOA,1.0
203576,120764.97,107380.27,119778.31,14250.0,133.0,19,BA,-13384.699999999997,-11.083263631829658,-986.6600000000035,-0.8170084421003901,107.14285714285714,OTRAS CAMARAS,1.0
203612,197359.65,197801.21,197801.21,18515.0,156.0,22,B1,441.5599999999977,0.22373367605789618,441.5599999999977,0.22373367605789618,118.68589743589743,SECOS + NOA,1.0
203619,191031.69,125283.84,125283.84,16064.0,169.0,22,N1,-65747.85,-34.41724773517944,-65747.85,-34.41724773517944,95.05325443786982,SECOS + NOA,0.33
