nivel_actual,legajos,actual,nuevo,diff_pct,bultos_hora,horas,penalizacion,ratio_nuevo_actual
0.25,1,11419.55,39860.66,249.0563113257528,82.01176470588236,85.0,0.0,349.0563113257528
0.5,1,6608.03,16276.740000000002,146.31758633057058,90.65625,32.0,0.0,246.31758633057058
0.7142857142857143,1,30827.870000000003,51399.12,66.72939129430608,86.61607142857143,112.0,0.0,166.72939129430608
0.75,1,11419.55,16186.64,41.744989951442925,98.1875,32.0,0.0,141.74498995144293
0.7857142857142857,1,27433.93,40512.37,47.67249898209991,93.64634146341463,82.0,0.0,147.6724989820999
0.9,1,32354.68,35955.58,11.129456387762145,90.52564102564102,78.0,0.0,111.12945638776215
0.9090909090909091,1,28890.17,33604.12,16.31679564363936,97.16666666666667,66.0,0.0,116.31679564363935
1.0,1,45174.270000000004,44252.31,-2.0408962889715903,89.03333333333333,90.0,0.0,97.9591037110284
1.0416666666666667,1,87505.41,100854.09,15.254691109955365,74.89915966386555,119.0,0.0,115.25469110995536
1.0714285714285714,1,4811.52,52977.03,1001.0456155227452,80.21495327102804,107.0,7.45,1101.0456155227453
1.0909090909090908,1,4811.52,35182.79,631.2198639930832,74.44444444444444,72.0,786.38,731.2198639930832
1.1111111111111112,1,32763.899999999998,35308.7,7.767085115019882,98.57142857142857,70.0,0.0,107.7670851150199
1.1176470588235294,2,17610.850000000002,152323.13,768.7271225423317,82.85511504424778,119.0,5470.39,864.939114239233
1.1428571428571428,1,4811.52,34607.94,619.272496009577,87.95454545454545,44.0,0.0,719.272496009577
1.25,6,145073.78000000003,324701.33,246.2164005758256,86.12781466271292,77.0,2228.56,223.8180669173988
1.2857142857142858,1,37103.89,40705.090000000004,9.705720882635228,103.63829787234043,47.0,0.0,109.70572088263523
1.3,2,53476.65,116321.29999999999,1024.4138524060934,101.75657719904332,62.0,0.0,217.5179260480976
1.3333333333333333,4,148436.39,271348.4,210.45944342155911,94.87579710144928,75.0,155.11999999999998,182.80449962438456
1.3529411764705883,1,25144.690000000002,106488.52,323.5030139564258,88.58778625954199,131.0,593.8100000000001,423.5030139564258
1.3636363636363635,1,59221.69,51462.78,-13.101466709241164,103.83333333333333,66.0,0.0,86.89853329075883
1.375,1,35947.7,36270.87,0.8990004923820037,106.66666666666667,51.0,0.0,100.899000492382
1.4,1,42686.66,132621.8,210.686757877051,86.5195530726257,179.0,1885.04,310.686757877051
1.4545454545454546,1,62196.14,57200.5,-8.032074016168849,109.38571428571429,70.0,0.0,91.96792598383115
1.4736842105263157,1,39684.39,147437.2,271.5244205593182,109.0863309352518,139.0,1428.7,371.5244205593182
1.4761904761904763,1,38725.39,91862.2,137.21439603319683,74.44897959183673,147.0,1168.9,237.2143960331968
1.5,2,30854.61,87784.63,210.39315110360565,97.653125,56.0,171.01,284.5105804286621
1.5833333333333333,1,34366.62,32403.89,-5.711152275085542,67.4375,80.0,1095.42,94.28884772491446
1.6,1,56427.26,63035.14,11.710439245144984,89.43396226415095,53.0,0.0,111.71043924514498
1.6666666666666667,2,78814.29000000001,155464.06,84.24530864585495,105.0767857142857,76.0,96.11,197.25364524631254
1.7777777777777777,1,144918.0,142238.49,-1.8489835631184597,81.8041958041958,143.0,0.0,98.15101643688155
1.8,2,115875.36,101302.94,-18.445255734328562,109.05377166156984,72.5,0.0,87.42405633087138
1.8095238095238095,1,113859.14,110714.68,-2.7617106540590473,107.28378378378379,148.0,0.0,97.23828934594096
1.8333333333333333,2,52911.67,79498.73,62.02664033601347,103.05701754385964,34.0,0.0,150.24800767014156
1.9230769230769231,1,93044.36,146110.28,57.032924940318786,81.87557603686636,217.0,246.23000000000002,157.0329249403188
1.9473684210526316,1,79516.66,141699.01,78.20040479567427,118.77692307692308,130.0,1433.65,178.20040479567427
1.9565217391304348,1,134559.57,127057.47,-5.57530021833453,108.27439024390245,164.0,0.0,94.42469978166547
1.9583333333333333,1,130803.26,172061.19,31.54197380095879,102.30952380952381,168.0,3723.1,131.5419738009588
2.0,18,605238.2,802601.9500000001,51.915844171022286,109.04850066737939,47.77777777777778,2666.9700000000003,132.60926854914314
2.0434782608695654,1,144505.97,115066.08,-20.37278459844946,110.7012987012987,154.0,0.0,79.62721540155054
2.0526315789473686,1,120764.97,107380.27,-11.083263631829658,107.14285714285714,133.0,0.0,88.91673636817035
2.0625,1,117386.03,96904.41,-17.448089862141174,113.15929203539822,113.0,0.0,82.55191013785883
2.111111111111111,1,124117.87,109111.28,-12.09059581831367,116.9037037037037,135.0,0.0,87.90940418168634
2.125,1,35038.47,57643.71,64.51548826190184,109.35,60.0,0.0,164.51548826190182
2.1363636363636362,1,102578.9,221762.8,116.18753954273247,125.42941176470588,170.0,2378.1499999999996,216.18753954273248
2.1578947368421053,1,78388.27,65192.2,-16.83424063319679,74.54676258992805,139.0,1196.3400000000001,83.16575936680321
2.1739130434782608,1,158805.58,130052.28,-18.10597587313997,120.75510204081633,147.0,0.0,81.89402412686003
2.1875,1,84131.48,135528.75,61.09160328571422,116.64102564102564,117.0,60.25,161.09160328571423
2.2,1,150618.51,128758.79,-14.513302515076013,115.69536423841059,151.0,0.0,85.486697484924
2.2857142857142856,2,79057.66,126011.9,71.04723125166568,124.0539297658863,49.0,1267.8200000000002,159.39239790299888
2.2916666666666665,1,130054.78,220059.33,69.20510726326245,117.20930232558139,172.0,362.25,169.20510726326242
2.3,1,49848.97,70508.38,41.44400576381017,107.98630136986301,73.0,27.54,141.44400576381017
2.3333333333333335,1,46635.28,46560.16,-0.16107976621989906,114.38095238095238,42.0,0.0,99.8389202337801
2.3529411764705883,1,121166.69,96221.78,-20.58726701208063,120.42372881355932,118.0,0.0,79.41273298791937
2.3684210526315788,1,139713.37,112152.49,-19.726730519777735,115.176,125.0,0.0,80.27326948022227
2.4,2,146618.07,138264.83000000002,19.2757726115857,116.5103884372177,74.5,21.6,94.30272134942167
2.4210526315789473,1,100554.72,139620.08,38.84985210042849,111.12765957446808,141.0,228.92000000000002,138.84985210042848
2.4347826086956523,1,178391.54,159499.72,-10.590087399884549,117.1304347826087,161.0,0.0,89.40991260011545
2.4444444444444446,1,66442.68,54630.58,-17.77788012163265,115.68115942028986,69.0,0.0,82.22211987836735
2.4545454545454546,1,180738.23,134804.12,-25.41471718517992,122.44666666666667,150.0,0.0,74.58528281482008
2.5,5,265252.08999999997,262353.51,-5.032693410077713,109.15485008818341,54.0,25.41,98.90723575448548
2.5555555555555554,1,76103.17,68544.29,-9.932411488246816,101.05882352941177,51.0,0.0,90.06758851175319
2.5625,1,110272.33,135408.12,22.794285746932157,121.8119658119658,117.0,1210.29,122.79428574693216
2.5714285714285716,1,35917.350000000006,29267.2,-18.51514657957785,122.65789473684211,38.0,0.0,81.48485342042216
2.5833333333333335,1,77023.51000000001,95676.62,24.217424004696728,116.29545454545455,88.0,7.15,124.21742400469672
2.6,2,321646.01,246787.73,-21.934526106655028,119.52946384653222,148.5,0.0,76.7265012863054
2.6296296296296298,1,213533.43,314032.58,47.06483195628901,146.64903846153845,208.0,7069.1,147.064831956289
2.6315789473684212,1,131593.45,165045.37,25.420657335148505,119.17123287671232,146.0,716.7,125.4206573351485
2.7,1,70969.12,84969.65,19.727636470622713,101.58333333333333,72.0,1205.27,119.72763647062273
2.7142857142857144,3,208048.73,253204.26,20.426128666630703,120.40120203421174,68.0,1312.08,121.70430456364718
2.730769230769231,1,231719.23,176182.54,-23.96723396672775,129.40983606557376,183.0,0.0,76.03276603327225
2.7777777777777777,1,73160.11,81046.70999999999,10.779918182189709,115.56338028169014,71.0,2072.16,110.7799181821897
2.782608695652174,1,187426.21,141606.84,-24.446618218444474,119.93167701863354,161.0,0.0,75.55338178155553
2.789473684210526,1,143474.39,196481.78999999998,36.94554826126109,123.4054054054054,148.0,1075.99,136.94554826126108
2.8,1,159065.18,197204.6,23.977227448521425,126.90845070422536,142.0,588.9100000000001,123.97722744852142
2.8260869565217392,1,242399.19,177761.57,-26.665773924409564,132.74846625766872,163.0,0.0,73.33422607559044
2.857142857142857,1,208856.87,98639.57,-52.771690009526615,87.31927710843374,166.0,18.41,47.228309990473385
2.875,2,286970.56,241507.71999999997,-3.036140533773489,123.12104283054003,116.5,0.0,84.1576641171833
2.909090909090909,1,197359.65,197801.21,0.22373367605789618,118.68589743589743,156.0,1040.64,100.2237336760579
2.9285714285714284,1,124479.75,95212.48999999999,-23.511663543668757,123.92380952380952,105.0,0.0,76.48833645633124
2.933333333333333,1,142037.76,107263.41,-24.482468605531377,125.5304347826087,115.0,0.0,75.51753139446863
2.9583333333333335,1,211594.34,216566.6,2.3499021760222933,121.99435028248588,177.0,1183.01,102.34990217602228
3.0,14,728716.67,600035.23,-11.520646158431337,114.9460712725094,46.785714285714285,743.8000000000001,82.34136183545793
3.0434782608695654,2,455639.69,309399.58999999997,-32.46964062966071,107.03466814979606,180.0,135.95000000000002,67.90444221397833
3.066666666666667,1,143944.2,107337.18000000001,-25.431396332745603,124.50877192982456,114.0,0.0,74.5686036672544
3.076923076923077,1,112512.54000000001,80113.61,-28.79583911268913,127.73626373626374,91.0,0.0,71.20416088731086
3.125,1,233312.96,175316.7,-24.857710433230963,131.39156626506025,166.0,0.0,75.14228956676904
3.130434782608696,1,252287.75,170175.66,-32.546998417481625,132.76704545454547,176.0,0.0,67.45300158251838
3.142857142857143,1,191031.69,125283.84,-34.41724773517944,95.05325443786982,169.0,0.0,65.58275226482057
3.185185185185185,1,280665.42,266674.41,-4.984942569697404,127.5607476635514,214.0,1205.38,95.01505743030259
3.2083333333333335,1,267738.21,181770.38,-32.1089134046276,133.49425287356323,174.0,0.0,67.8910865953724
3.238095238095238,1,229007.36,124651.43,-45.56881053953899,92.30057803468208,173.0,1215.15,54.431189460461006
3.25,1,33085.05,34243.61,3.501762880817764,114.4375,32.0,0.46,103.50176288081776
3.260869565217391,1,230440.49,117495.09,-49.012827563419954,80.31914893617021,188.0,96.15,50.98717243658005
3.2777777777777777,1,174746.52,146791.71,-15.99734861672782,108.45744680851064,94.0,0.0,84.00265138327218
3.2857142857142856,2,317850.56,248839.22999999998,-15.377558857095208,124.13694746586438,103.5,0.0,78.28812068161842
3.3157894736842106,1,191146.15,178977.17,-6.366322314103623,126.3265306122449,147.0,38.18,93.63367768589637
3.3333333333333335,1,60783.28,52283.86,-13.983154578035272,129.1590909090909,44.0,0.0,86.01684542196473
3.3684210526315788,1,189838.89,204616.03,7.784042563670692,131.24657534246575,146.0,37.8,107.7840425636707
3.3846153846153846,1,307729.79,266100.89,-13.52774458397413,131.61702127659575,188.0,1150.19,86.47225541602587
3.4545454545454546,1,297189.09,219222.73,-26.234596969895502,126.4258064516129,155.0,126.59,73.76540303010451
3.5,2,369249.13,232436.47,-43.52449519830833,105.16289140572951,115.5,1441.01,62.94841371731871
3.52,1,332461.93,194236.39,-41.576351313366914,142.94054054054055,185.0,0.0,58.423648686633086
3.5454545454545454,1,239594.9,224927.31,-6.121828970483093,127.9585798816568,169.0,714.42,93.8781710295169
3.56,1,311293.43,208033.4,-33.171284726439616,105.1116504854369,206.0,4.109999999999999,66.82871527356038
3.5714285714285716,1,90829.20999999999,75110.44,-17.305853480394678,131.625,56.0,0.0,82.69414651960533
3.576923076923077,1,331868.77999999997,143350.9,-56.80494561736117,87.53211009174312,218.0,72.88,43.19505438263882
3.5789473684210527,1,205652.67,183282.66999999998,-10.877563612473413,120.03053435114504,131.0,0.0,89.12243638752658
3.6666666666666665,1,174142.17,150214.75,-13.740164142895434,132.11458333333334,96.0,0.0,86.25983585710456
3.6818181818181817,1,324799.84,126710.25,-60.98820430453414,101.67469879518072,166.0,69.98,39.01179569546586
3.727272727272727,1,146624.46,107303.68,-26.817340026350312,130.42168674698794,83.0,0.0,73.18265997364969
3.75,2,573215.5700000001,500933.61,-12.79038144668857,134.91937212043285,168.0,2295.74,87.39009130544028
3.761904761904762,1,285479.9,86339.85,-69.75624203315189,90.02380952380952,168.0,482.19,30.243757966848108
3.8076923076923075,1,318871.22000000003,200818.9,-37.02194258860992,108.77934272300469,213.0,1095.42,62.97805741139009
3.8461538461538463,1,350670.81,315160.76,-10.126320465624152,136.678391959799,199.0,7.91,89.87367953437585
3.8518518518518516,1,356965.76,291567.25,-18.320667506037555,135.9609756097561,205.0,1542.15,81.67933249396245
3.869565217391304,1,299145.03,209557.78,-29.947764801574685,134.70909090909092,165.0,25.55,70.05223519842532
3.875,1,110969.47,74054.78,-33.26562702336057,140.2258064516129,62.0,0.0,66.73437297663943
3.909090909090909,1,310534.4,99517.77,-67.95273889140783,94.8109756097561,164.0,0.0,32.04726110859216
3.923076923076923,1,369324.41000000003,340275.82,-7.8653317282765105,132.40579710144928,207.0,28.150000000000002,92.13466827172348
3.925925925925926,1,395670.36,335912.15,-15.103029198345805,135.04739336492892,211.0,3.96,84.89697080165419
3.9285714285714284,1,193942.67,85073.26,-56.13484129098564,90.4,105.0,0.0,43.86515870901436
3.933333333333333,1,245819.14,83975.62,-65.83845342555506,89.15126050420169,119.0,0.0,34.161546574444934
4.0,5,474547.45,218263.27,-46.3065376245567,124.23796069631442,51.6,1.22,45.99398226668376
4.045454545454546,1,323474.87,268795.19,-16.90384171110417,141.07647058823528,170.0,484.73,83.09615828889582
4.0588235294117645,1,272585.44,217686.07,-20.140243000506555,140.7218045112782,133.0,0.0,79.85975699949344
4.08,1,404848.53,357809.79,-11.618849153287044,148.41836734693877,196.0,2393.05,88.38115084671296
4.090909090909091,1,191363.86,128736.62,-32.7267855069395,139.3375,80.0,1096.79,67.2732144930605
4.1,1,171848.43,178614.31,3.937120635899906,150.12,75.0,444.27,103.9371206358999
4.125,1,348420.37,215062.25,-38.27506411292772,139.0104712041885,191.0,0.0,61.72493588707228
