mes,almacen,legajo,dias_participa,dias_con_escala_paga,bultos_turno_mes,bultos_prom_dia,nivel_maximo_dia,puntos_escala_mes,bono_estimado,dias_nivel_0,dias_nivel_1,dias_nivel_2,dias_nivel_3,dias_nivel_4,dias_nivel_5_mas
2026-06,SECOS + NOA,734435,18,18,25976.89,1443.16,5,289288.0,55538.0,0,0,2,4,11,1
2026-06,SECOS + NOA,735101,19,16,25634.16,1349.17,5,286408.0,54985.0,3,0,1,4,7,4
2026-06,SECOS + NOA,206770,23,21,30200.84,1313.08,5,284528.0,54624.0,2,0,4,11,5,1
2026-06,SECOS + NOA,203612,20,14,25384.49,1269.22,6,283712.0,54467.0,6,3,2,2,0,7
2026-06,SECOS + NOA,735031,19,15,25744.78,1354.99,5,282832.0,54298.0,4,0,0,2,10,3
2026-06,SECOS + NOA,733621,14,14,21507.73,1536.27,6,281608.0,54063.0,0,0,1,2,7,4
2026-06,SECOS + NOA,207399,23,20,31304.6,1361.07,5,275976.0,52982.0,3,2,5,6,3,4
2026-06,SECOS + NOA,734931,16,15,23522.33,1470.15,6,273704.0,52546.0,1,0,1,5,5,4
2026-06,SECOS + NOA,734725,17,16,24234.22,1425.54,5,267976.0,51446.0,1,1,1,5,5,4
2026-06,SECOS + NOA,207056,24,22,30733.52,1280.56,5,266752.0,51211.0,2,3,5,8,5,1
2026-06,SECOS + NOA,198673,21,13,24291.64,1156.74,6,265016.0,50878.0,8,1,1,4,1,6
2026-06,SECOS + NOA,207009,21,15,26862.4,1279.16,5,262312.0,50359.0,6,1,1,4,4,5
2026-06,SECOS + NOA,734440,20,18,26595.97,1329.8,5,260320.0,49976.0,2,1,4,4,7,2
2026-06,SECOS + NOA,734726,19,15,23973.31,1261.75,5,255984.0,49144.0,4,1,2,3,4,5
2026-06,SECOS + NOA,733941,21,18,27392.51,1304.41,4,249928.0,47981.0,3,0,3,8,7,0
2026-06,SECOS + NOA,734875,19,17,25157.85,1324.1,5,239112.0,45905.0,2,0,3,8,5,1
2026-06,SECOS + NOA,207662,23,20,29125.35,1266.32,5,236424.0,45389.0,3,6,3,5,4,2
2026-06,SECOS + NOA,207660,23,19,27981.83,1216.6,5,232472.0,44630.0,4,4,3,6,5,1
2026-06,SECOS + NOA,733942,21,18,26495.62,1261.7,5,232440.0,44624.0,3,1,4,8,4,1
2026-06,SECOS + NOA,206145,15,11,18816.59,1254.44,5,232296.0,44596.0,4,0,0,2,3,6
2026-06,SECOS + NOA,733509,16,16,22140.23,1383.76,4,231560.0,44455.0,0,0,1,9,6,0
2026-06,SECOS + NOA,734722,18,16,23519.49,1306.64,5,228296.0,43828.0,2,0,3,8,3,2
2026-06,SECOS + NOA,735024,19,15,24098.41,1268.34,5,222688.0,42752.0,4,1,3,3,6,2
2026-06,SECOS + NOA,206697,16,13,20942.71,1308.92,5,218864.0,42018.0,3,1,1,4,3,4
2026-06,SECOS + NOA,733615,14,14,19857.97,1418.43,5,211784.0,40658.0,0,0,2,5,6,1
2026-06,SECOS + NOA,206693,19,12,21180.63,1114.77,5,211080.0,40523.0,7,1,1,2,4,4
2026-06,SECOS + NOA,733624,16,13,20690.02,1293.13,5,210648.0,40440.0,3,1,0,5,5,2
2026-06,SECOS + NOA,206099,24,21,28615.39,1192.31,5,210072.0,40330.0,3,4,9,4,3,1
2026-06,SECOS + NOA,207712,20,18,24897.17,1244.86,4,205936.0,39536.0,2,4,4,4,6,0
2026-06,SECOS + NOA,733708,13,12,18083.94,1391.07,5,201632.0,38709.0,1,0,1,5,3,3
2026-06,SECOS + NOA,734944,17,16,22129.88,1301.76,5,199240.0,38250.0,1,0,4,10,1,1
2026-06,SECOS + NOA,206776,19,13,20637.12,1086.16,6,191984.0,36857.0,6,2,4,2,1,4
2026-06,SECOS + NOA,207425,24,17,26066.74,1086.11,5,191768.0,36816.0,7,3,5,5,3,1
2026-06,SECOS + NOA,199408,17,14,21074.92,1239.7,5,182568.0,35050.0,3,4,1,4,3,2
2026-06,SECOS + NOA,207481,20,12,21994.6,1099.73,6,176784.0,33939.0,8,0,3,6,1,2
2026-06,SECOS + NOA,734387,15,12,19663.97,1310.93,5,175608.0,33713.0,3,0,2,5,4,1
2026-06,SECOS + NOA,207397,20,13,23218.83,1160.94,5,173232.0,33257.0,7,2,3,3,3,2
2026-06,SECOS + NOA,206120,16,12,17563.53,1097.72,5,169600.0,32560.0,4,1,2,5,2,2
2026-06,SECOS + NOA,734433,19,14,23295.86,1226.1,4,168896.0,32425.0,5,0,6,3,5,0
2026-06,SECOS + NOA,207658,20,18,24861.85,1243.09,4,168144.0,32280.0,2,3,8,5,2,0
2026-06,SECOS + NOA,734873,15,15,19898.38,1326.56,5,166144.0,31896.0,0,0,8,4,2,1
2026-06,SECOS + NOA,734872,15,13,18246.48,1216.43,5,162608.0,31218.0,2,1,4,4,3,1
2026-06,SECOS + NOA,733943,19,16,22228.57,1169.92,4,157904.0,30315.0,3,2,6,7,1,0
2026-06,SECOS + NOA,733581,21,17,24203.75,1152.56,3,153032.0,29379.0,4,2,8,7,0,0
2026-06,SECOS + NOA,192150,15,13,18593.57,1239.57,5,152680.0,29312.0,2,3,3,3,3,1
2026-06,SECOS + NOA,735028,18,16,21360.64,1186.7,4,145624.0,27957.0,2,4,7,2,3,0
2026-06,SECOS + NOA,192151,17,9,18326.51,1078.03,6,143736.0,27595.0,8,2,2,1,2,2
2026-06,SECOS + NOA,734008,19,14,22120.73,1164.25,4,141960.0,27254.0,5,0,7,6,1,0
2026-06,SECOS + NOA,734865,20,17,22233.66,1111.68,4,139200.0,26724.0,3,2,11,3,1,0
2026-06,SECOS + NOA,206815,19,13,18886.75,994.04,4,136904.0,26283.0,6,2,4,5,2,0
2026-06,SECOS + NOA,734876,20,16,22057.77,1102.89,3,136496.0,26205.0,4,4,6,6,0,0
2026-06,SECOS + NOA,206118,20,12,19402.65,970.13,4,136072.0,26123.0,8,1,5,2,4,0
2026-06,SECOS + NOA,206101,19,10,17809.57,937.35,5,132480.0,25434.0,9,1,1,6,1,1
2026-06,SECOS + NOA,734792,19,18,21289.38,1120.49,4,132280.0,25395.0,1,6,9,2,1,0
2026-06,SECOS + NOA,734432,19,16,22222.24,1169.59,4,131720.0,25288.0,3,6,5,4,1,0
2026-06,SECOS + NOA,192187,18,12,19122.34,1062.35,5,128264.0,24624.0,6,3,4,2,2,1
2026-06,SECOS + NOA,198019,17,11,18402.54,1082.5,5,127984.0,24570.0,6,3,2,3,2,1
2026-06,SECOS + NOA,734011,17,15,18399.05,1082.3,4,122136.0,23448.0,2,7,4,2,2,0
2026-06,SECOS + NOA,195121,14,10,14382.38,1027.31,5,121624.0,23349.0,4,0,4,4,1,1
2026-06,SECOS + NOA,735032,19,13,20643.74,1086.51,4,120896.0,23210.0,6,1,7,4,1,0
2026-06,SECOS + NOA,734234,20,15,20862.99,1043.15,3,119960.0,23030.0,5,6,4,5,0,0
2026-06,SECOS + NOA,735100,19,13,20727.05,1090.9,4,117296.0,22519.0,6,3,5,4,1,0
2026-06,SECOS + NOA,734430,19,16,22185.56,1167.66,4,117264.0,22512.0,3,7,6,2,1,0
2026-06,SECOS + NOA,735026,17,13,19188.34,1128.73,4,112768.0,21649.0,4,2,7,3,1,0
2026-06,SECOS + NOA,734868,19,15,20376.77,1072.46,4,109728.0,21066.0,4,4,9,1,1,0
2026-06,SECOS + NOA,199095,11,8,11978.7,1088.97,5,105432.0,20241.0,3,1,2,2,2,1
2026-06,SECOS + NOA,735099,19,13,20293.65,1068.09,3,99488.0,19100.0,6,3,7,3,0,0
2026-06,SECOS + NOA,734380,18,13,18631.64,1035.09,3,95888.0,18409.0,5,5,5,3,0,0
2026-06,SECOS + NOA,734940,16,10,16896.67,1056.04,4,94744.0,18189.0,6,1,5,3,1,0
2026-06,SECOS + NOA,196375,16,9,14312.81,894.55,4,88512.0,16993.0,7,3,3,0,3,0
2026-06,SECOS + NOA,194041,14,8,12618.36,901.31,6,86432.0,16593.0,6,4,2,0,1,1
2026-06,SECOS + NOA,734439,19,9,17922.23,943.28,4,84536.0,16229.0,10,3,2,3,1,0
2026-06,SECOS + NOA,735103,19,11,19256.47,1013.5,3,81744.0,15693.0,8,2,7,2,0,0
2026-06,SECOS + NOA,198106,9,4,8754.12,972.68,5,80888.0,15529.0,5,1,0,0,0,3
2026-06,SECOS + NOA,203619,20,11,17669.21,883.46,3,71816.0,13787.0,9,4,6,1,0,0
2026-06,SECOS + NOA,734869,17,12,15868.48,933.44,3,71224.0,13674.0,5,8,3,1,0,0
2026-06,SECOS + NOA,735093,12,9,12753.38,1062.78,4,70080.0,13454.0,3,4,3,1,1,0
2026-06,SECOS + NOA,197556,15,9,12396.73,826.45,4,65552.0,12585.0,6,3,5,0,1,0
2026-06,SECOS + NOA,190368,23,9,16168.54,702.98,3,64928.0,12465.0,14,4,3,2,0,0
2026-06,SECOS + NOA,190890,17,9,16142.39,949.55,3,64928.0,12465.0,8,4,3,2,0,0
2026-06,SECOS + NOA,734007,16,9,16333.48,1020.84,3,60400.0,11596.0,7,3,5,1,0,0
2026-06,SECOS + NOA,734934,13,7,12658.97,973.77,3,57112.0,10964.0,6,1,4,2,0,0
2026-06,SECOS + NOA,734232,16,10,16704.86,1044.05,2,55280.0,10613.0,6,6,4,0,0,0
2026-06,SECOS + NOA,735096,11,9,11166.48,1015.13,3,55000.0,10559.0,2,6,2,1,0,0
2026-06,SECOS + NOA,124819,19,10,18424.67,969.72,2,53480.0,10267.0,9,7,3,0,0,0
2026-06,SECOS + NOA,735029,18,7,16309.26,906.07,3,48984.0,9404.0,11,2,4,1,0,0
2026-06,SECOS + NOA,735021,17,8,16836.28,990.37,2,45664.0,8767.0,9,4,4,0,0,0
2026-06,SECOS + NOA,199093,16,8,15520.51,970.03,2,45664.0,8767.0,8,4,4,0,0,0
2026-06,SECOS + NOA,199094,14,6,12202.2,871.59,3,42376.0,8135.0,8,2,3,1,0,0
2026-06,SECOS + NOA,735098,17,7,16353.23,961.95,2,39056.0,7498.0,10,4,3,0,0,0
2026-06,SECOS + NOA,734943,16,7,13789.67,861.85,2,37256.0,7152.0,9,5,2,0,0,0
2026-06,SECOS + NOA,208374,2,2,3095.76,1547.88,4,36176.0,6945.0,0,0,0,0,2,0
2026-06,SECOS + NOA,208333,2,2,3067.97,1533.99,4,36176.0,6945.0,0,0,0,0,2,0
2026-06,SECOS + NOA,734864,19,6,17586.37,925.6,2,34248.0,6575.0,13,3,3,0,0,0
2026-06,SECOS + NOA,735094,14,6,13601.97,971.57,2,32448.0,6229.0,8,4,2,0,0,0
2026-06,SECOS + NOA,208373,2,2,2735.54,1367.77,5,31968.0,6137.0,0,0,1,0,0,1
2026-06,SECOS + NOA,203640,8,4,6399.8,799.97,3,29160.0,5598.0,4,2,1,1,0,0
2026-06,SECOS + NOA,735097,17,6,15967.94,939.29,1,28848.0,5538.0,11,6,0,0,0,0
2026-06,SECOS + NOA,208363,2,2,2707.7,1353.85,3,25872.0,4967.0,0,0,0,2,0,0
2026-06,SECOS + NOA,734947,16,5,14280.02,892.5,2,25840.0,4961.0,11,4,1,0,0,0
2026-06,SECOS + NOA,208365,2,2,2738.39,1369.19,4,24696.0,4741.0,0,0,1,0,1,0
2026-06,SECOS + NOA,183034,13,3,8892.06,684.0,3,22552.0,4330.0,10,2,0,1,0,0
