mes,almacen,legajo,dias_participa,dias_con_escala_paga,bultos_turno_mes,bultos_prom_dia,nivel_maximo_dia,puntos_escala_mes,bono_estimado,dias_nivel_0,dias_nivel_1,dias_nivel_2,dias_nivel_3,dias_nivel_4,dias_nivel_5_mas
2026-06,SECOS + NOA,197260,1,0,657.78,657.78,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,207681,1,0,594.85,594.85,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,734881,1,0,550.75,550.75,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,65607,24,0,543.6,22.65,0,0.0,0.0,24,0,0,0,0,0
2026-06,SECOS + NOA,735109,1,0,513.81,513.81,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,735196,1,0,501.7,501.7,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,735193,1,0,488.53,488.53,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,735201,1,0,454.41,454.41,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,186680,1,0,451.23,451.23,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,189686,1,0,447.78,447.78,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,734883,1,0,426.24,426.24,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,187980,1,0,412.21,412.21,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,69630,20,0,263.24,13.16,0,0.0,0.0,20,0,0,0,0,0
2026-06,SECOS + NOA,190367,1,0,262.51,262.51,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,735247,1,0,236.42,236.42,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,734938,1,0,203.3,203.3,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,3134,9,0,79.68,8.85,0,0.0,0.0,9,0,0,0,0,0
2026-06,SECOS + NOA,121553,10,0,58.15,5.81,0,0.0,0.0,10,0,0,0,0,0
2026-06,SECOS + NOA,175651,11,0,36.43,3.31,0,0.0,0.0,11,0,0,0,0,0
2026-06,SECOS + NOA,69703,2,0,29.47,14.73,0,0.0,0.0,2,0,0,0,0,0
2026-06,SECOS + NOA,85653,5,0,13.56,2.71,0,0.0,0.0,5,0,0,0,0,0
2026-06,SECOS + NOA,49182,2,0,6.78,3.39,0,0.0,0.0,2,0,0,0,0,0
2026-06,SECOS + NOA,116693,3,0,5.34,1.78,0,0.0,0.0,3,0,0,0,0,0
2026-06,SECOS + NOA,109220,1,0,5.04,5.04,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,187979,2,0,1.31,0.66,0,0.0,0.0,2,0,0,0,0,0
2026-06,SECOS + NOA,57436,1,0,1.01,1.01,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,175154,1,0,0.76,0.76,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,116662,1,0,0.43,0.43,0,0.0,0.0,1,0,0,0,0,0
2026-06,SECOS + NOA,195119,1,0,0.3,0.3,0,0.0,0.0,1,0,0,0,0,0
